"state","married_couple","homeowner","car_value","count","a0","a1","a2","b0","b1","c1","c2","c3","c4","d1","d2","d3","e0","e1","f0","f1","f2","f3","g1","g2","g3","g4"
"AL",0,0,"c",41,0.658536585365854,0.24390243902439,0.0975609756097561,0.292682926829268,0.707317073170732,0.390243902439024,0.414634146341463,0.170731707317073,0.024390243902439,0.24390243902439,0.341463414634146,0.414634146341463,0.75609756097561,0.24390243902439,0.658536585365854,0.0731707317073171,0.219512195121951,0.0487804878048781,0.292682926829268,0.634146341463415,0.0487804878048781,0.024390243902439
"AL",0,0,"d",134,0.291044776119403,0.567164179104478,0.141791044776119,0.26865671641791,0.73134328358209,0.432835820895522,0.283582089552239,0.261194029850746,0.0223880597014925,0.246268656716418,0.388059701492537,0.365671641791045,0.634328358208955,0.365671641791045,0.261194029850746,0.186567164179104,0.492537313432836,0.0597014925373134,0.23134328358209,0.611940298507463,0.0970149253731343,0.0597014925373134
"AL",0,0,"e",331,0.323262839879154,0.552870090634441,0.123867069486405,0.323262839879154,0.676737160120846,0.450151057401813,0.299093655589124,0.214501510574018,0.0362537764350453,0.24773413897281,0.371601208459215,0.380664652567976,0.658610271903323,0.341389728096677,0.299093655589124,0.232628398791541,0.395770392749245,0.0725075528700906,0.265861027190332,0.54380664652568,0.13595166163142,0.054380664652568
"AL",0,0,"f",229,0.222707423580786,0.650655021834061,0.126637554585153,0.34061135371179,0.65938864628821,0.427947598253275,0.248908296943231,0.270742358078603,0.0524017467248908,0.222707423580786,0.375545851528384,0.40174672489083,0.646288209606987,0.353711790393013,0.209606986899563,0.200873362445415,0.528384279475983,0.0611353711790393,0.209606986899563,0.54585152838428,0.139737991266376,0.104803493449782
"AL",0,0,"g",143,0.13986013986014,0.664335664335664,0.195804195804196,0.314685314685315,0.685314685314685,0.356643356643357,0.216783216783217,0.342657342657343,0.0839160839160839,0.251748251748252,0.237762237762238,0.510489510489511,0.594405594405594,0.405594405594406,0.132867132867133,0.286713286713287,0.461538461538462,0.118881118881119,0.244755244755245,0.524475524475524,0.13986013986014,0.0909090909090909
"AL",0,0,"h",23,0.304347826086957,0.434782608695652,0.260869565217391,0.260869565217391,0.739130434782609,0.434782608695652,0.217391304347826,0.260869565217391,0.0869565217391304,0.304347826086957,0.217391304347826,0.478260869565217,0.652173913043478,0.347826086956522,0.304347826086957,0.173913043478261,0.260869565217391,0.260869565217391,0.217391304347826,0.608695652173913,0.130434782608696,0.0434782608695652
"AL",0,0,"i",5,0.2,0.2,0.6,0.4,0.6,0.4,0.4,0,0.2,0.4,0.2,0.4,0.6,0.4,0.2,0.2,0.4,0.2,0,0.8,0.2,0
"AL",0,1,"a",6,1,0,0,0.5,0.5,0.5,0.5,0,0,0.333333333333333,0.333333333333333,0.333333333333333,1,0,1,0,0,0,0,0.833333333333333,0.166666666666667,0
"AL",0,1,"b",5,1,0,0,0.6,0.4,0.8,0,0.2,0,0.6,0.2,0.2,1,0,1,0,0,0,0.6,0.2,0.2,0
"AL",0,1,"c",49,0.775510204081633,0.204081632653061,0.0204081632653061,0.428571428571429,0.571428571428571,0.285714285714286,0.326530612244898,0.387755102040816,0,0.244897959183673,0.326530612244898,0.428571428571429,0.897959183673469,0.102040816326531,0.63265306122449,0.102040816326531,0.244897959183673,0.0204081632653061,0.163265306122449,0.693877551020408,0.102040816326531,0.0408163265306122
"AL",0,1,"d",235,0.323404255319149,0.570212765957447,0.106382978723404,0.293617021276596,0.706382978723404,0.382978723404255,0.302127659574468,0.285106382978723,0.0297872340425532,0.2,0.404255319148936,0.395744680851064,0.638297872340426,0.361702127659574,0.302127659574468,0.208510638297872,0.438297872340426,0.051063829787234,0.263829787234043,0.51063829787234,0.170212765957447,0.0553191489361702
"AL",0,1,"e",611,0.240589198036007,0.649754500818331,0.109656301145663,0.271685761047463,0.728314238952537,0.342062193126023,0.289689034369885,0.320785597381342,0.0474631751227496,0.20949263502455,0.32569558101473,0.46481178396072,0.620294599018003,0.379705400981997,0.212765957446809,0.252045826513912,0.463175122749591,0.072013093289689,0.307692307692308,0.497545008183306,0.121112929623568,0.0736497545008183
"AL",0,1,"f",492,0.146341463414634,0.729674796747967,0.123983739837398,0.23780487804878,0.76219512195122,0.241869918699187,0.278455284552846,0.400406504065041,0.0792682926829268,0.166666666666667,0.306910569105691,0.526422764227642,0.532520325203252,0.467479674796748,0.123983739837398,0.247967479674797,0.536585365853659,0.0914634146341463,0.252032520325203,0.520325203252033,0.134146341463415,0.0934959349593496
"AL",0,1,"g",296,0.158783783783784,0.675675675675676,0.165540540540541,0.239864864864865,0.760135135135135,0.243243243243243,0.297297297297297,0.375,0.0844594594594595,0.10472972972973,0.35472972972973,0.540540540540541,0.547297297297297,0.452702702702703,0.14527027027027,0.199324324324324,0.577702702702703,0.0777027027027027,0.256756756756757,0.523648648648649,0.152027027027027,0.0675675675675676
"AL",0,1,"h",81,0.135802469135802,0.62962962962963,0.234567901234568,0.296296296296296,0.703703703703704,0.135802469135802,0.308641975308642,0.37037037037037,0.185185185185185,0.0987654320987654,0.308641975308642,0.592592592592593,0.592592592592593,0.407407407407407,0.111111111111111,0.209876543209877,0.518518518518518,0.160493827160494,0.209876543209877,0.555555555555556,0.160493827160494,0.0740740740740741
"AL",0,1,"i",7,0.142857142857143,0.571428571428571,0.285714285714286,0.285714285714286,0.714285714285714,0.142857142857143,0.142857142857143,0.428571428571429,0.285714285714286,0,0.142857142857143,0.857142857142857,0.571428571428571,0.428571428571429,0.142857142857143,0,0.571428571428571,0.285714285714286,0.285714285714286,0.571428571428571,0.142857142857143,0
"AL",1,0,"c",5,0.6,0.2,0.2,0.6,0.4,0.6,0.2,0.2,0,0.4,0.6,0,0.8,0.2,0.6,0,0.4,0,0.4,0.4,0.2,0
"AL",1,0,"d",22,0.454545454545455,0.363636363636364,0.181818181818182,0.272727272727273,0.727272727272727,0.409090909090909,0.136363636363636,0.363636363636364,0.0909090909090909,0.272727272727273,0.227272727272727,0.5,0.727272727272727,0.272727272727273,0.454545454545455,0.136363636363636,0.318181818181818,0.0909090909090909,0.181818181818182,0.727272727272727,0.0454545454545455,0.0454545454545455
"AL",1,0,"e",44,0.25,0.704545454545455,0.0454545454545455,0.204545454545455,0.795454545454545,0.5,0.295454545454545,0.204545454545455,0,0.227272727272727,0.522727272727273,0.25,0.590909090909091,0.409090909090909,0.227272727272727,0.227272727272727,0.5,0.0454545454545455,0.227272727272727,0.659090909090909,0.0454545454545455,0.0681818181818182
"AL",1,0,"f",31,0.258064516129032,0.580645161290323,0.161290322580645,0.193548387096774,0.806451612903226,0.354838709677419,0.32258064516129,0.32258064516129,0,0.193548387096774,0.32258064516129,0.483870967741935,0.67741935483871,0.32258064516129,0.225806451612903,0.290322580645161,0.451612903225806,0.032258064516129,0.387096774193548,0.483870967741935,0.0967741935483871,0.032258064516129
"AL",1,0,"g",17,0.117647058823529,0.705882352941177,0.176470588235294,0.294117647058824,0.705882352941177,0.294117647058824,0.294117647058824,0.352941176470588,0.0588235294117647,0.176470588235294,0.411764705882353,0.411764705882353,0.705882352941177,0.294117647058824,0.117647058823529,0.411764705882353,0.352941176470588,0.117647058823529,0.176470588235294,0.470588235294118,0.235294117647059,0.117647058823529
"AL",1,0,"h",5,0,0.8,0.2,0,1,0.2,0.4,0.4,0,0.2,0.2,0.6,0.6,0.4,0,0.4,0.6,0,0,0.8,0,0.2
"AL",1,1,"a",4,1,0,0,0.75,0.25,0.75,0,0.25,0,0.75,0.25,0,1,0,0.75,0,0.25,0,0,1,0,0
